longitude,latitude,const_scale,built_year,orginal_level,present_level,exist_dis,assecss_dis,building_type
129.4766975,42.88801498,56.47,1990,0,6,1,1,town house
129.5131346,42.88639115,36.28,1989,0,6,1,1,town house
129.3666361,42.87645272,3000,1990,6,6,1,1,town house
129.3670351,42.87688029,2990,1990,6,6,1,1,town house
129.3667617,42.87721316,2700,1990,6,6,1,1,town house
129.5205277,42.90204714,32,1980,0,6,1,1,town house
129.3543498,42.87777699,80,1989,0,6,1,1,town house
129.5297849,42.8921595,6445.14,1990,0,6,1,2,town house
129.5287309,42.89268349,6345.66,1990,6,6,1,1,town house
129.5292607,42.89302561,5320.11,1990,6,6,1,1,town house
129.3725663,42.87954205,1186,1989,0,6,1,2,town house
129.3725102,42.87935931,1336,1990,0,6,1,2,town house
129.5041975,42.89449941,5645.42,1990,6,6,1,1,town house
129.5042459,42.89412074,6471.37,1990,6,6,1,1,town house
129.5037297,42.89428545,4935.6,1990,6,6,1,1,town house
129.495006,42.909142,7129.52,2000,6,6,0,1,town house
129.4963118,42.90910485,7058.99,1990,6,6,1,1,town house
129.49493,42.909499,8111.14,2000,6,6,0,1,town house
129.496634,42.909435,8382.55,1990,6,6,1,1,town house
129.494872,42.910422,14097.91,2000,6,6,0,1,town house
129.4962029,42.91060097,23937.72,2000,6,6,0,1,town house
129.4950389,42.90978659,5102.93,2000,6,6,0,1,town house
129.496178,42.910114,1713.6,2000,6,6,0,1,town house
129.494976,42.910017,1854.28,2000,6,6,0,1,town house
129.49603,42.909747,6596.43,1990,6,6,1,1,town house
129.494763,42.909755,5989.8,2000,6,6,0,1,town house
129.486801,42.904822,18114.52,2000,6,6,0,1,town house
129.5107284,42.87989245,5348.24,2011,6,6,0,1,town house
129.5115483,42.87991842,4693.46,2011,6,6,0,1,town house
129.5107647,42.87906615,5455.24,2011,6,6,0,1,town house
129.5110799,42.87774852,3892.16,2011,6,6,0,1,town house
129.5110704,42.87851094,8771.2,2011,6,6,0,1,town house
129.5107549,42.87947774,5348.24,2011,6,6,0,1,town house
129.5115782,42.87908003,5455.24,2011,6,6,0,1,town house
129.5107256,42.88032662,4658.5,2011,6,6,0,1,town house
129.5115806,42.87948821,4693.46,2011,6,6,0,1,town house
129.5110685,42.87811581,8612.68,2011,6,6,0,1,town house
129.5115612,42.88033808,4099.9,2011,6,6,0,1,town house
129.527947,42.89199692,2838.68,1990,6,6,1,1,town house
129.5283972,42.89229845,1971.6,1990,6,6,1,1,town house
129.5278347,42.89174149,5636.54,1990,6,6,1,1,town house
129.5278558,42.89134724,5073.78,1990,6,6,1,1,town house
129.5202794,42.90273621,3978,2000,0,6,0,2,town house
129.5212734,42.90263084,3840,1990,6,6,1,1,town house
129.5213697,42.90366204,3884.1,1990,6,6,1,1,town house
129.5212518,42.90367179,7333.2,1990,6,6,1,1,town house
129.5205403,42.90326693,2631.44,1990,6,6,1,1,town house
129.5206006,42.90337345,4254.8,1990,6,6,1,1,town house
129.5205978,42.90300134,3567.3,1990,6,6,1,1,town house
129.5203608,42.90327064,3672,1990,6,6,1,1,town house
129.52096,42.902403,1740.48,2000,0,6,0,2,town house
129.5207942,42.90254646,3953.16,2000,0,6,0,2,town house
129.5212984,42.90295746,4377.6,1990,6,6,1,1,town house
129.5213272,42.90332505,4248,1990,6,6,1,1,town house
129.5305105,42.89263007,5055.05,1990,0,6,1,2,town house
129.5305332,42.89231367,4659.02,1990,0,6,1,2,town house
129.5298612,42.89320111,6057.78,1990,6,6,1,1,town house
129.5317318,42.89108035,1820.85,1990,6,6,1,1,town house
129.5066706,42.91108938,3025.14,1990,6,6,1,1,town house
129.5090076,42.91173931,812.92,2000,6,6,0,1,town house
129.5093194,42.91043738,5473.43,2000,6,6,0,1,town house
129.5066595,42.91134577,3542.22,1990,6,6,1,1,town house
129.5087885,42.91196903,1043.54,2000,6,6,0,1,town house
129.5079697,42.9114235,3247.87,2000,6,6,0,1,town house
129.5070954,42.91138178,2488.88,2000,6,6,0,1,town house
129.5083874,42.91191138,2245.28,2000,6,6,0,1,town house
129.5080578,42.91103228,3473.44,2000,6,6,0,1,town house
129.5084202,42.91177691,1724.13,2000,6,6,0,1,town house
129.5070357,42.91180811,2363.79,1990,6,6,1,1,town house
129.5081579,42.91065427,3303.1,2000,0,6,0,2,town house
129.506426,42.91168668,2846.54,1990,6,6,1,1,town house
129.5147811,42.88918734,6270,2000,6,6,0,1,town house
129.3039535,43.01171175,80,1989,0,7.1,1,1,town house
129.2973395,43.01077536,1200,2000,6,7.1,0,2,town house
129.5178085,42.91155331,1860.63,2000,6,6,0,1,town house
129.517071,42.90519201,5488,1990,6,6,1,1,town house
129.5187648,42.91233383,4620.68,1990,6,6,1,1,town house
129.5180663,42.91247111,2943.49,1990,6,6,1,1,town house
129.5176491,42.9118459,2882.05,1990,6,6,1,1,town house
129.5175756,42.91220283,1882.76,1990,6,6,1,1,town house
129.4564613,42.8907914,4958.82,2000,6,6,0,1,town house
129.4980617,42.8895615,400,2000,6,6,0,1,town house
129.4956201,42.89048459,4470,1990,6,6,3,1,town house
129.493514,42.88967236,9540,2000,6,6,0,1,town house
129.4965276,42.88934758,4050,1990,6,6,1,1,town house
129.4973453,42.88936186,4330,1990,6,6,1,1,town house
129.493472,42.8903564,7240,1990,6,6,1,1,town house
129.4957093,42.88934425,4780,1990,6,6,1,1,town house
129.4956826,42.88969005,6910.49,2000,6,6,0,1,town house
129.4956571,42.89016006,5920,1990,6,6,1,1,town house
129.4859907,42.89328948,897.56,1990,6,6,1,1,town house
129.4806068,42.89153416,5449.5,2000,6,6,0,1,town house
129.4819909,42.89201547,5185.99,2000,6,6,0,1,town house
129.4812695,42.89080024,7839.72,2000,6,6,0,1,town house
129.4821075,42.89241126,7534.38,2000,6,6,0,1,town house
129.4812007,42.89197261,4175.14,2000,6,6,0,1,town house
129.4821088,42.89043795,8286.5,2000,6,6,0,1,town house
129.479818,42.89074293,9512.11,2000,6,6,0,1,town house
129.478516,42.89121485,5981.83,2000,6,6,0,1,town house
129.4818004,42.89143673,818.42,2000,6,6,0,1,town house
129.4798871,42.89129067,6779.78,2000,6,6,0,1,town house
129.4797623,42.89227119,3336.04,2000,6,6,0,1,town house
129.4783034,42.89090765,6289.1,2000,6,6,0,1,town house
129.4820384,42.89124839,5789.95,2000,6,6,0,1,town house
129.4812726,42.89120127,4442.32,2000,6,6,0,1,town house
129.4812073,42.89161299,4258.78,2000,6,6,0,1,town house
129.4801673,42.8903754,4725.84,2000,6,6,0,1,town house
129.4813234,42.89041686,4343.41,2000,6,6,0,1,town house
129.4820034,42.89164218,5838.81,2000,6,6,0,1,town house
129.4790809,42.89124338,4267.14,2000,6,6,0,1,town house
129.4798202,42.89165221,3509.35,2000,6,6,0,1,town house
129.481803,42.89176972,947.8,2000,6,6,0,1,town house
129.4820738,42.89084175,5756.88,2000,6,6,0,1,town house
129.5300736,42.91371257,3917.35,1990,6,6,1,1,town house
129.4834039,42.89039276,1554.9,1989,6,6,1,1,town house
129.4874239,42.89291751,7235.73,1990,6,6,1,1,town house
129.486653,42.89274342,2986.16,1990,6,6,1,1,town house
129.4862095,42.89224141,13563.78,1990,6,6,1,1,town house
129.486812,42.89205134,5511.55,1990,6,6,1,1,town house
129.4892757,42.89298242,9046.76,2000,6,6,0,1,town house
129.4893536,42.8913889,4230.05,1989,6,6,1,1,town house
129.4891641,42.89073061,2578.32,2000,6,6,0,1,town house
129.4836631,42.89066766,1265.58,1989,6,6,1,1,town house
129.4838977,42.89042442,770.95,1989,6,6,1,1,town house
129.4837594,42.89063967,1207.99,1989,6,6,1,1,town house
129.4866146,42.89100145,18951.71,2000,6,6,0,1,town house
129.4864688,42.8914523,8154.35,2000,6,6,0,1,town house
129.4874907,42.89243777,5760.8,1990,6,6,1,1,town house
129.4864569,42.89189726,9766.73,2000,6,6,0,1,town house
129.4923559,42.89272703,1392.87,1990,6,6,1,1,town house
129.4916498,42.8927039,4003.73,1990,6,6,1,1,town house
129.4923269,42.89311591,967.91,1990,6,6,1,1,town house
129.4904607,42.89081929,5116.89,1989,6,6,1,1,town house
129.4919322,42.89310175,3859.18,1990,6,6,1,1,town house
129.4912752,42.89316558,1665.84,1990,6,6,1,1,town house
129.4931409,42.89138461,2973.6,1990,6,6,1,1,town house
129.4930916,42.8920869,3238.6,1990,6,6,1,1,town house
129.493047,42.89244679,3381.65,1990,6,6,1,1,town house
129.4929768,42.89281615,2012.13,1990,6,6,1,1,town house
129.4927281,42.89279653,962.83,1990,6,6,1,1,town house
129.4929861,42.89316063,2922.11,1990,6,6,1,1,town house
129.4947143,42.89327687,3008.23,1989,6,6,1,1,town house
129.4945857,42.8929619,1937.6,1980,6,6,1,1,town house
129.4948309,42.89266174,4973.58,1980,6,6,1,1,town house
129.4948538,42.89233052,4218.93,1990,6,6,1,1,town house
129.494888,42.89202976,4241.83,1990,6,6,1,1,town house
129.4954222,42.89300126,8775.15,1990,6,6,1,1,town house
129.4957408,42.89279663,6533.61,1990,6,6,1,1,town house
129.4925278,42.89133802,6837.16,1990,6,6,1,1,town house
129.4925263,42.89165845,7144.92,1990,6,6,1,1,town house
129.492279,42.89203459,5772.26,1990,6,6,1,1,town house
129.4923755,42.89240773,1300.38,1990,6,6,1,1,town house
129.4916694,42.89234273,4712.13,1990,6,6,1,1,town house
129.499736,42.89038501,16740,2000,6,6,0,1,town house
129.5018027,42.8897077,9830,1990,6,6,1,1,town house
129.4985112,42.88983589,5478,1990,6,6,1,1,town house
129.4990743,42.89021179,1270,1989,0,6,1,2,town house
129.4985441,42.89020281,2560,1989,6,6,1,1,town house
129.4984468,42.89020116,5200,1989,0,6,1,2,town house
129.4975842,42.8905409,6500,1990,6,6,1,1,town house
129.5004476,42.88949806,14570,2000,6,6,0,1,town house
129.4997139,42.88965628,8540,1990,6,6,1,1,town house
129.5008284,42.88988205,467.59,2000,6,6,0,1,town house
129.5003961,42.89022492,7530,1990,6,6,1,1,town house
129.4994049,42.88951988,1627.58,1990,6,6,1,1,town house
129.460568,42.898596,7564.61,2011,6,6,0,1,town house
129.459136,42.898177,4399.76,2011,6,6,0,1,town house
129.461261,42.898271,2389,2011,6,6,0,1,town house
129.459774,42.899661,6843.61,2011,6,6,0,1,town house
129.460562,42.89825,2389,2011,6,6,0,1,town house
129.456703,42.899534,11626.76,2011,6,6,0,1,town house
129.459837,42.898574,7321.4,2011,6,6,0,1,town house
129.460613,42.899138,7561.94,2011,6,6,0,1,town house
129.459195,42.898661,9175.66,2011,6,6,0,1,town house
129.4583284,42.89976698,8849.04,2011,6,6,0,1,town house
129.457131,42.899049,9311.98,2011,6,6,0,1,town house
129.459148,42.899639,6014.08,2011,6,6,0,1,town house
129.458381,42.898159,4399.76,2011,6,6,0,1,town house
129.458013,42.899151,9170.64,2011,6,6,0,1,town house
129.457971,42.899592,9518.06,2011,6,6,0,1,town house
129.4598,42.899126,7070.57,2011,6,6,0,1,town house
129.457815,42.898541,9012.87,2011,6,6,0,1,town house
129.460549,42.899706,6395.95,2011,6,6,0,1,town house
129.458587,42.898797,9128.6,2011,6,6,0,1,town house
129.5035173,42.89204688,6508.56,1990,6,6,1,1,town house
129.5034237,42.89273987,4222.02,1990,6,6,1,1,town house
129.5310161,42.91653044,3780,1990,6,6,1,1,town house
129.530926,42.91616705,6879.54,1990,6,6,3,1,town house
129.499739,42.90831163,17133.85,2000,6,6,0,1,town house
129.5155662,42.8907638,65026.07,2000,6,6,0,1,town house
129.5225456,42.91893214,4939.72,2000,6,6,0,1,town house
129.5222889,42.91856662,8803.24,2000,6,6,0,1,town house
129.5231525,42.91906231,1023.14,2000,6,6,0,1,town house
129.5227136,42.91932179,6104.72,2000,6,6,0,1,town house
129.4960713,42.8826078,6036.8,2000,0,6,0,2,town house
129.4959381,42.88221566,6870.15,2000,0,6,0,2,town house
129.4945694,42.88337648,9511.59,2000,0,6,0,2,town house
129.4950758,42.88220635,6080.76,2000,0,6,0,2,town house
129.4957515,42.88265158,6664,2000,0,6,0,2,town house
129.4954355,42.88298851,5565.56,2000,0,6,0,2,town house
129.4968199,42.88300041,7612.08,2000,0,6,0,2,town house
129.4955747,42.88338541,4542.58,2000,0,6,0,2,town house
129.4961993,42.88340028,4957.04,2000,0,6,0,2,town house
129.5322421,42.917077,5515.94,2011,6,6,0,1,town house
129.5317075,42.91791531,7978.63,2011,6,6,0,1,town house
129.5336343,42.92237316,8137.93,2011,6,6,0,1,town house
129.5319068,42.91613473,6178.84,2011,6,6,0,1,town house
129.5329883,42.91956135,12564.55,2011,6,6,0,1,town house
129.5329107,42.91929863,6998.38,2011,6,6,0,1,town house
129.5328799,42.91888696,6184.58,2011,6,6,0,1,town house
129.5335829,42.92159269,8985.35,2011,6,6,0,1,town house
129.5326819,42.91817156,4992.32,2011,6,6,0,1,town house
129.5336114,42.92201338,7536.57,2011,6,6,0,1,town house
129.5336876,42.92322786,11586.96,2011,6,6,0,1,town house
129.5327473,42.91849925,6444.46,2011,6,6,0,1,town house
129.5343995,42.92050576,9052.51,2011,6,6,0,1,town house
129.5336666,42.9228205,7527.15,2011,6,6,0,1,town house
129.5313794,42.91750989,5989.38,2011,6,6,0,1,town house
129.5312141,42.9171051,6759.56,2011,6,6,0,1,town house
129.5333678,42.92078177,9743.56,2011,6,6,0,1,town house
129.5323717,42.91636383,6098.14,2011,6,6,0,1,town house
129.5342237,42.92010006,8284.12,2011,6,6,0,1,town house
129.5345404,42.92130906,8436.96,2011,6,6,0,1,town house
129.5322354,42.91749399,6007.54,2011,6,6,0,1,town house
129.5278131,42.91319009,5127.32,2000,6,6,0,1,town house
129.4912847,42.9343974,3780,2000,6,6,0,1,town house
129.4914025,42.93399503,5880,2000,6,6,0,1,town house
129.4910648,42.93487985,6342.52,2000,6,6,0,1,town house
129.492226,42.93451075,5608.37,2000,6,6,0,1,town house
129.4924167,42.93413264,5683.32,2000,6,6,0,1,town house
129.4988574,42.92555771,10003.61,2000,6,6,0,1,town house
129.4989474,42.92468953,9443.17,2000,6,6,0,1,town house
129.498069,42.92650082,8957.8,2000,6,6,0,1,town house
129.4988791,42.92513915,8607.13,2000,6,6,0,1,town house
129.4987847,42.92596824,9060.7,2000,6,6,0,1,town house
129.5077452,42.92272019,10501.58,2011,6,6,0,1,town house
129.5092172,42.92271338,11931.8,2011,6,6,0,1,town house
129.5090391,42.92340608,20033,2011,6,6,0,1,town house
129.5060924,42.92171851,9350.83,2011,6,6,0,1,town house
129.5053261,42.92165922,10792.13,2011,6,6,0,1,town house
129.50869,42.92206515,8093.69,2011,6,6,0,1,town house
129.508437,42.9226334,14821.6,2011,6,6,0,1,town house
129.5079377,42.92195522,12758.3,2011,6,6,0,1,town house
129.5052232,42.92233138,15867.25,2011,6,6,0,1,town house
129.5073025,42.9222834,13202.64,2011,6,6,0,1,town house
129.5065304,42.92317264,14932.32,2011,6,6,0,1,town house
129.5067657,42.92180464,13050.76,2011,6,6,0,1,town house
129.5076005,42.92328641,10216.86,2011,6,6,0,1,town house
129.506742,42.92262686,9917.12,2011,6,6,0,1,town house
129.5091418,42.92212256,5698.83,2011,6,6,0,1,town house
129.5082066,42.92333791,11157.66,2011,6,6,0,1,town house
129.5059554,42.92237738,15812.46,2011,6,6,0,1,town house
129.5005621,42.92523798,8828.28,2000,6,6,0,1,town house
129.5025462,42.92585758,5930.56,2000,6,6,0,1,town house
129.5011313,42.92630845,5454.17,2000,6,6,0,1,town house
